"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","crop_size","lr","model_type","num_workers","optimizer","posenc","random_dropout_channel","scale","scheduler","temperature","warmup_epochs","weight_decay","epoch","lr-SGD","train/dice_edema","train/dice_enhancing","train/dice_necrotic","train/f1","train/loss","train/precision","train/recall","trainer/global_step","valid/dice_edema","valid/dice_enhancing","valid/dice_necrotic","valid/f1","valid/loss","valid/precision","valid/recall"
"lfpe","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45688","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.LFPE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5230526328086853","0.7117983102798462","0.5700576901435852","0.6242339611053467","0.4174329340457916","0.47203585505485535","0.9212820529937744","13949","0.5065428018569946","0.7389010787010193","0.5790058970451355","0.606671929359436","0.4378932118415833","0.4521320462226868","0.9217171669006348"
"lfpe","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29575","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.LFPE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5590653419494629","0.6526588797569275","0.5433998703956604","0.6436050534248352","0.49580568075180054","0.49747416377067566","0.9112938046455384","6899","0.5484977960586548","0.6710201501846313","0.5534129738807678","0.6386808753013611","0.4683828055858612","0.4857266843318939","0.9322413802146912"
"lfpe","finished","-","jabareen","","2024-03-01T14:59:48.000Z","18085","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.LFPE","false","1","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5268859267234802","0.7152478694915771","0.5748912692070007","0.6306880116462708","0.35550031065940857","0.5148681402206421","0.8137390613555908","13949","0.5164458155632019","0.7421351075172424","0.5904287099838257","0.6360588669776917","0.4437115788459778","0.517966628074646","0.8239019513130188"
"none","finished","-","jabareen","","2024-03-03T11:58:30.000Z","29632","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.NONE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5657229423522949","0.6529332995414734","0.5453280210494995","0.6553714871406555","0.4362491965293884","0.5092703104019165","0.9190243482589722","6899","0.554255485534668","0.672639787197113","0.5547661781311035","0.6458137631416321","0.4617118239402771","0.4955373406410218","0.9269075393676758"
"none","finished","-","jabareen","","2024-03-01T14:36:12.000Z","17912","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.NONE","false","1","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5378696322441101","0.7231199145317078","0.5804969668388367","0.6419463753700256","0.3835727572441101","0.5332706570625305","0.8062534332275391","13949","0.5329992771148682","0.7501105070114136","0.6013256311416626","0.6526098251342773","0.4231656789779663","0.5428988337516785","0.8178925514221191"
"none","finished","-","jabareen","","2024-02-28T16:51:56.000Z","45704","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.NONE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5271762013435364","0.7144535779953003","0.5773656964302063","0.6321691274642944","0.38557666540145874","0.4815870523452759","0.9197580218315125","13949","0.5135239958763123","0.7418118715286255","0.5870285034179688","0.6043585538864136","0.4293568432331085","0.44691336154937744","0.9330761432647704"
"sincos_10000.0","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45774","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.SINCOS","false","0","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5175310969352722","0.7168853878974915","0.5741661787033081","0.612952470779419","0.3861193656921386","0.4628213942050934","0.9072474837303162","13949","0.5011351704597473","0.743607223033905","0.5849946141242981","0.610283613204956","0.4382942020893097","0.4544824063777923","0.928626298904419"
"sincos_10000.0","finished","-","jabareen","","2024-03-01T19:35:16.000Z","17722","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.SINCOS","false","1","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.531612753868103","0.7234200239181519","0.5796263813972473","0.6322306990623474","0.40804794430732727","0.5225176215171814","0.8002617955207825","13949","0.5216898322105408","0.7492645978927612","0.5959787368774414","0.6423473954200745","0.4361225366592407","0.5301000475883484","0.8149005174636841"
"sincos_10000.0","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29495","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.SINCOS","false","0","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.554347038269043","0.6547778844833374","0.5457380414009094","0.6333250999450684","0.47089946269989014","0.487839937210083","0.9024593234062196","6899","0.5474080443382263","0.6745056509971619","0.5582152605056763","0.6364015340805054","0.4573094844818115","0.48542457818984985","0.923686981201172"
"sincos_100000.0","finished","-","jabareen","","2024-03-01T19:30:39.000Z","17602","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.SINCOS","false","1","SchedulerType.WARMUPEXP","100000","10","0","149","0.00001449676380431657","0.530905544757843","0.7231640815734863","0.5783928632736206","0.6304261088371277","0.38565793633461","0.5177647471427917","0.8057509660720825","13949","0.5208721160888672","0.749399721622467","0.5944387912750244","0.6327289342880249","0.4331946969032288","0.5157371759414673","0.8183712959289551"
"sincos_100000.0","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45804","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.SINCOS","false","0","SchedulerType.WARMUPEXP","100000","10","0","149","0.00001449676380431657","0.5170713663101196","0.7177897691726685","0.5743335485458374","0.6128714084625244","0.3776728510856629","0.4615761339664459","0.9117122292518616","13949","0.502285361289978","0.7478591203689575","0.586478590965271","0.6066939830780029","0.4424039423465729","0.4503215253353119","0.9294377565383912"
"sincos_100000.0","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29695","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.SINCOS","false","0","SchedulerType.WARMUPEXP","100000","10","0","149","0.00001449676380431657","0.5533462762832642","0.6557312607765198","0.5453711152076721","0.6357740759849548","0.4600154161453247","0.488782674074173","0.9091962575912476","6899","0.5435757637023926","0.6739876866340637","0.5553708672523499","0.6325331330299377","0.4744004309177398","0.4829696714878082","0.916282832622528"
